frame_path,label,split,dataset
outputs\frames\scvd\train\violence\Weaponized265\Weaponized265_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos785_x264_4400.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos043_x264_1200.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos633_x264_307280.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_868\V_868_f00004.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_444\NV_444_f00004.jpg,0,train,rlvs
datasets\ucf_crime\Train\Abuse\Abuse039_x264_8900.png,1,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting019_x264_2750.png,1,train,ucf
outputs\frames\scvd\train\violence\Weaponized455\Weaponized455_f00000.jpg,1,train,scvd
outputs\frames\rlvs\train\violence\V_605\V_605_f00000.jpg,1,train,rlvs
outputs\frames\scvd\train\violence\Violence424\Violence424_f00000.jpg,1,train,scvd
outputs\frames\scvd\train\violence\Weaponized504\Weaponized504_f00000.jpg,1,train,scvd
outputs\frames\scvd\train\violence\Violence651\Violence651_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos837_x264_1820.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos655_x264_2670.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos323_x264_27540.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_415\V_415_f00000.jpg,1,train,rlvs
outputs\frames\rlvs\train\violence\V_360\V_360_f00004.jpg,1,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting008_x264_7790.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_481\NV_481_f00004.jpg,0,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_441\NV_441_f00002.jpg,0,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting046_x264_2860.png,1,train,ucf
datasets\ucf_crime\Train\Abuse\Abuse042_x264_18240.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_587\NV_587_f00000.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos565_x264_21620.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting004_x264_7130.png,1,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting011_x264_5890.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos786_x264_1050.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos463_x264_640.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_301\V_301_f00000.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos076_x264_1230.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_687310.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting031_x264_5210.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_314\NV_314_f00002.jpg,0,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_413\NV_413_f00002.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos425_x264_46110.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_317\NV_317_f00003.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos530_x264_69830.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_789\V_789_f00080.jpg,1,train,rlvs
outputs\frames\scvd\train\violence\Violence278\Violence278_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos565_x264_36610.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_822\V_822_f00002.jpg,1,train,rlvs
datasets\ucf_crime\Train\Abuse\Abuse004_x264_5760.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos665_x264_5410.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos633_x264_132220.png,0,train,ucf
outputs\frames\scvd\train\violence\Weaponized821\Weaponized821_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos496_x264_12750.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting050_x264_5730.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_459\V_459_f00001.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_92\NV_92_f00003.jpg,0,train,rlvs
outputs\frames\scvd\train\nonviolence\Normal811\Normal811_f00000.jpg,0,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_89650.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_651\NV_651_f00000.jpg,0,train,rlvs
outputs\frames\rlvs\train\violence\V_448\V_448_f00003.jpg,1,train,rlvs
outputs\frames\scvd\train\violence\Violence728\Violence728_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_270250.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos655_x264_3440.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_363\NV_363_f00000.jpg,0,train,rlvs
outputs\frames\rlvs\train\violence\V_184\V_184_f00001.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos947_x264_177530.png,0,train,ucf
datasets\ucf_crime\Train\Abuse\Abuse042_x264_26430.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_241\NV_241_f00000.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_609910.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_734\V_734_f00003.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos540_x264_1060.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_984\V_984_f00001.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_749950.png,0,train,ucf
outputs\frames\scvd\train\violence\Weaponized087\Weaponized087_f00000.jpg,1,train,scvd
outputs\frames\scvd\train\violence\Violence337\Violence337_f00000.jpg,1,train,scvd
outputs\frames\rlvs\train\violence\V_886\V_886_f00004.jpg,1,train,rlvs
outputs\frames\rlvs\train\violence\V_638\V_638_f00001.jpg,1,train,rlvs
outputs\frames\scvd\train\violence\Violence862\Violence862_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos633_x264_63460.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_100\V_100_f00005.jpg,1,train,rlvs
outputs\frames\rlvs\train\violence\V_219\V_219_f00004.jpg,1,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting026_x264_3170.png,1,train,ucf
datasets\ucf_crime\Train\Abuse\Abuse039_x264_9440.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos714_x264_37130.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos719_x264_2160.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos475_x264_10170.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos138_x264_18140.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_414\V_414_f00002.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos630_x264_58890.png,0,train,ucf
outputs\frames\scvd\train\nonviolence\Normal799\Normal799_f00000.jpg,0,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos566_x264_1460.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_62810.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_185\V_185_f00005.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos623_x264_8440.png,0,train,ucf
outputs\frames\scvd\train\violence\Weaponized513\Weaponized513_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos133_x264_2520.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_727\NV_727_f00002.jpg,0,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_684\NV_684_f00004.jpg,0,train,rlvs
datasets\ucf_crime\Train\Abuse\Abuse014_x264_10.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos449_x264_84730.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_654\V_654_f00001.jpg,1,train,rlvs
datasets\ucf_crime\Train\Abuse\Abuse022_x264_2790.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_645\NV_645_f00001.jpg,0,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting034_x264_2370.png,1,train,ucf
datasets\ucf_crime\Train\Assault\Assault008_x264_2080.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_727\V_727_f00001.jpg,1,train,rlvs
outputs\frames\rlvs\train\violence\V_40\V_40_f00000.jpg,1,train,rlvs
outputs\frames\scvd\train\nonviolence\Normal825\Normal825_f00000.jpg,0,train,scvd
outputs\frames\scvd\train\violence\Violence570\Violence570_f00000.jpg,1,train,scvd
outputs\frames\scvd\train\violence\Weaponized775\Weaponized775_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos947_x264_22060.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_72\NV_72_f00001.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_241320.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting050_x264_23060.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos425_x264_95320.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_789\V_789_f00291.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_127\NV_127_f00001.jpg,0,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting022_x264_1490.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos946_x264_82980.png,0,train,ucf
outputs\frames\scvd\train\violence\Violence832\Violence832_f00000.jpg,1,train,scvd
outputs\frames\rlvs\train\violence\V_575\V_575_f00003.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_462\NV_462_f00003.jpg,0,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_342\NV_342_f00001.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos947_x264_74250.png,0,train,ucf
datasets\ucf_crime\Train\Abuse\Abuse004_x264_8000.png,1,train,ucf
outputs\frames\scvd\train\violence\Violence617\Violence617_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos679_x264_6940.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos382_x264_1200.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting037_x264_60.png,1,train,ucf
datasets\ucf_crime\Train\Abuse\Abuse039_x264_13700.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos171_x264_39210.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos649_x264_70.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_149\NV_149_f00002.jpg,0,train,rlvs
datasets\ucf_crime\Train\Assault\Assault042_x264_5810.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos946_x264_94160.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_228\V_228_f00003.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_161\NV_161_f00000.jpg,0,train,rlvs
outputs\frames\rlvs\train\violence\V_624\V_624_f00004.jpg,1,train,rlvs
datasets\ucf_crime\Train\Abuse\Abuse013_x264_3670.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_203\NV_203_f00003.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos565_x264_43920.png,0,train,ucf
datasets\ucf_crime\Train\Assault\Assault051_x264_180.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_927\NV_927_f00004.jpg,0,train,rlvs
datasets\ucf_crime\Train\Abuse\Abuse019_x264_1780.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_309\V_309_f00000.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos307_x264_500250.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_182\NV_182_f00000.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos087_x264_58960.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting048_x264_1050.png,1,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting008_x264_10870.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos262_x264_1190.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_740\NV_740_f00001.jpg,0,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_271\NV_271_f00002.jpg,0,train,rlvs
outputs\frames\rlvs\train\violence\V_640\V_640_f00001.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos947_x264_74140.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos533_x264_30550.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos472_x264_28340.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_333320.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_721\NV_721_f00000.jpg,0,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_439\NV_439_f00003.jpg,0,train,rlvs
outputs\frames\rlvs\train\violence\V_372\V_372_f00003.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos177_x264_5260.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos377_x264_7290.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos766_x264_120.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos471_x264_45100.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting045_x264_180.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_793\V_793_f00001.jpg,1,train,rlvs
outputs\frames\scvd\train\violence\Violence237\Violence237_f00000.jpg,1,train,scvd
outputs\frames\scvd\train\violence\Weaponized828\Weaponized828_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\Fighting\Fighting010_x264_3060.png,1,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting051_x264_3840.png,1,train,ucf
datasets\ucf_crime\Train\Abuse\Abuse013_x264_250.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos716_x264_25150.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_528\NV_528_f00001.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos225_x264_750.png,0,train,ucf
outputs\frames\scvd\train\violence\Violence512\Violence512_f00000.jpg,1,train,scvd
outputs\frames\rlvs\train\violence\V_241\V_241_f00001.jpg,1,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting031_x264_900.png,1,train,ucf
outputs\frames\scvd\train\nonviolence\Normal480\Normal480_f00000.jpg,0,train,scvd
datasets\ucf_crime\Train\Fighting\Fighting029_x264_1640.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_290\NV_290_f00001.jpg,0,train,rlvs
outputs\frames\rlvs\train\violence\V_449\V_449_f00004.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos695_x264_4890.png,0,train,ucf
datasets\ucf_crime\Train\Abuse\Abuse034_x264_280.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos172_x264_2690.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting050_x264_880.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos785_x264_72550.png,0,train,ucf
datasets\ucf_crime\Train\Abuse\Abuse042_x264_22650.png,1,train,ucf
datasets\ucf_crime\Train\Abuse\Abuse020_x264_2270.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos683_x264_23180.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos688_x264_26140.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_387\NV_387_f00003.jpg,0,train,rlvs
outputs\frames\scvd\train\violence\Violence497\Violence497_f00000.jpg,1,train,scvd
outputs\frames\rlvs\train\violence\V_547\V_547_f00002.jpg,1,train,rlvs
outputs\frames\rlvs\train\violence\V_398\V_398_f00087.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos630_x264_16470.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_403\V_403_f00000.jpg,1,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting041_x264_8950.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_726\NV_726_f00000.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos307_x264_12960.png,0,train,ucf
outputs\frames\scvd\train\violence\Violence288\Violence288_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_677940.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_640\V_640_f00000.jpg,1,train,rlvs
datasets\ucf_crime\Train\Assault\Assault040_x264_2940.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_268\V_268_f00003.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos475_x264_3240.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos946_x264_159820.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting050_x264_19100.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos713_x264_5210.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_187\NV_187_f00002.jpg,0,train,rlvs
outputs\frames\scvd\train\violence\Weaponized167\Weaponized167_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\Fighting\Fighting009_x264_1750.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_553\V_553_f00003.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos556_x264_39840.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_955\NV_955_f00002.jpg,0,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_497\NV_497_f00004.jpg,0,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting005_x264_210.png,1,train,ucf
outputs\frames\scvd\train\nonviolence\Normal559\Normal559_f00000.jpg,0,train,scvd
outputs\frames\rlvs\train\nonviolence\NV_162\NV_162_f00002.jpg,0,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting041_x264_29320.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_592\V_592_f00000.jpg,1,train,rlvs
datasets\ucf_crime\Train\Assault\Assault052_x264_170.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_427\V_427_f00003.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_700\NV_700_f00002.jpg,0,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_354\NV_354_f00002.jpg,0,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_590\NV_590_f00003.jpg,0,train,rlvs
outputs\frames\rlvs\train\violence\V_661\V_661_f00003.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_597\NV_597_f00003.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos946_x264_195280.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_624\NV_624_f00001.jpg,0,train,rlvs
datasets\ucf_crime\Train\Assault\Assault016_x264_800.png,1,train,ucf
outputs\frames\scvd\train\violence\Violence605\Violence605_f00000.jpg,1,train,scvd
outputs\frames\rlvs\train\nonviolence\NV_961\NV_961_f00003.jpg,0,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_394\NV_394_f00002.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos544_x264_25550.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_328\V_328_f00001.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos633_x264_197250.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting035_x264_510.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos307_x264_276650.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos762_x264_11250.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_456110.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_826\NV_826_f00000.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos527_x264_350.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos642_x264_56030.png,0,train,ucf
outputs\frames\scvd\train\violence\Weaponized169\Weaponized169_f00000.jpg,1,train,scvd
outputs\frames\rlvs\train\nonviolence\NV_328\NV_328_f00002.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos436_x264_470.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos551_x264_45840.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting039_x264_5080.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos642_x264_1080.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos472_x264_60990.png,0,train,ucf
datasets\ucf_crime\Train\Assault\Assault041_x264_1330.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos307_x264_187760.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos386_x264_3830.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos331_x264_44370.png,0,train,ucf
outputs\frames\scvd\train\nonviolence\Normal144\Normal144_f00000.jpg,0,train,scvd
outputs\frames\scvd\train\violence\Violence429\Violence429_f00000.jpg,1,train,scvd
outputs\frames\rlvs\train\nonviolence\NV_179\NV_179_f00002.jpg,0,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting011_x264_3180.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_712\NV_712_f00003.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_751290.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos854_x264_12820.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_48\NV_48_f00002.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos762_x264_18250.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_168\V_168_f00001.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_992\NV_992_f00075.jpg,0,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting041_x264_30030.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos479_x264_830.png,0,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting048_x264_90.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_963\V_963_f00001.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_459790.png,0,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_232\NV_232_f00002.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos335_x264_4800.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos181_x264_420.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos046_x264_5860.png,0,train,ucf
